Date,Ta_mean,Recon
1768-10,9.8,
1768-11,4,
1768-12,-0.7,
1769-01,-1.2,
1769-02,0.1,
1769-03,2.4,
1769-04,8.9,
1769-05,13.1,
1769-06,14.9,
1769-07,17.5,
1769-08,19.1,
1769-09,12.9,
1769-10,5.7,
1769-11,4.8,
1769-12,0.6,
1770-01,NA,
1770-02,NA,
1770-03,NA,
1770-04,NA,
1770-05,NA,
1770-06,NA,
1770-07,NA,
1770-08,NA,
1770-09,NA,
1770-10,NA,
1770-11,NA,
1770-12,NA,
1771-01,NA,
1771-02,NA,
1771-03,NA,
1771-04,NA,
1771-05,NA,
1771-06,NA,
1771-07,NA,
1771-08,NA,
1771-09,NA,
1771-10,NA,
1771-11,NA,
1771-12,NA,
1772-01,NA,
1772-02,NA,
1772-03,NA,
1772-04,NA,
1772-05,NA,
1772-06,NA,
1772-07,NA,
1772-08,NA,
1772-09,NA,
1772-10,NA,
1772-11,NA,
1772-12,NA,
1773-01,NA,
1773-02,NA,
1773-03,NA,
1773-04,NA,
1773-05,NA,
1773-06,NA,
1773-07,NA,
1773-08,NA,
1773-09,NA,
1773-10,NA,
1773-11,NA,
1773-12,NA,
1774-01,NA,
1774-02,NA,
1774-03,NA,
1774-04,NA,
1774-05,NA,
1774-06,NA,
1774-07,NA,
1774-08,NA,
1774-09,NA,
1774-10,NA,
1774-11,NA,
1774-12,NA,
1775-01,NA,
1775-02,NA,
1775-03,NA,
1775-04,NA,
1775-05,NA,
1775-06,NA,
1775-07,NA,
1775-08,NA,
1775-09,NA,
1775-10,NA,
1775-11,NA,
1775-12,NA,
1776-01,NA,
1776-02,NA,
1776-03,NA,
1776-04,NA,
1776-05,NA,
1776-06,NA,
1776-07,NA,
1776-08,NA,
1776-09,NA,
1776-10,NA,
1776-11,NA,
1776-12,NA,
1777-01,-2.3,
1777-02,-1.1,
1777-03,5.5,
1777-04,6.2,
1777-05,10.9,
1777-06,14.8,
1777-07,15.3,
1777-08,17.9,
1777-09,13.8,
1777-10,9.8,
1777-11,4.1,
1777-12,-2.2,
1778-01,-1,
1778-02,-0.7,
1778-03,4.1,
1778-04,9.6,
1778-05,13.3,
1778-06,15.3,
1778-07,18.9,
1778-08,18.6,
1778-09,11.8,
1778-10,8.5,
1778-11,4.2,
1778-12,1.5,
1779-01,-7.7,
1779-02,1.4,
1779-03,4.5,
1779-04,11.1,
1779-05,14.2,
1779-06,13.5,
1779-07,16.6,
1779-08,16.3,
1779-09,14.6,
1779-10,10.8,
1779-11,4.2,
1779-12,3.4,
1780-01,-4.4,
1780-02,-3.5,
1780-03,6.3,
1780-04,5.8,
1780-05,13.9,
1780-06,16.4,
1780-07,17.5,
1780-08,17.5,
1780-09,13.8,
1780-10,9.3,
1780-11,1.8,
1780-12,-3,
1781-01,-1.3,
1781-02,1.1,
1781-03,4.9,
1781-04,10.4,
1781-05,14.9,
1781-06,16.8,
1781-07,18.3,
1781-08,18.4,
1781-09,14.3,
1781-10,7.3,
1781-11,3.7,
1781-12,1,
1782-01,0.2,
1782-02,-5.6,
1782-03,3,
1782-04,6.8,
1782-05,12,
1782-06,18.7,
1782-07,20.3,
1782-08,16.8,
1782-09,12.7,
1782-10,6.2,
1782-11,-0.3,
1782-12,-4.1,
1783-01,1.4,
1783-02,1.9,
1783-03,2.9,
1783-04,8.5,
1783-05,13.7,
1783-06,15.4,
1783-07,20.1,
1783-08,16.9,
1783-09,13.9,
1783-10,9.3,
1783-11,3.9,
1783-12,-0.8,
1784-01,-3.8,
1784-02,-2.6,
1784-03,3.2,
1784-04,5.2,
1784-05,15.9,
1784-06,16.1,
1784-07,17.9,
1784-08,15.4,
1784-09,15.8,
1784-10,4.7,
1784-11,2.5,
1784-12,-4.5,
1785-01,-2.2,
1785-02,-3.5,
1785-03,-4.7,
1785-04,4.6,
1785-05,12.9,
1785-06,15.6,
1785-07,16.5,
1785-08,15.5,
1785-09,15,
1785-10,7.9,
1785-11,2.6,
1785-12,-0.6,
1786-01,-1.7,
1786-02,0.1,
1786-03,0.8,
1786-04,9.1,
1786-05,12,
1786-06,17.1,
1786-07,15.6,
1786-08,15.4,
1786-09,12.2,
1786-10,5.7,
1786-11,1.6,
1786-12,-0.9,
1787-01,-4.4,
1787-02,-0.6,
1787-03,4.9,
1787-04,7,
1787-05,9.8,
1787-06,16.1,
1787-07,16.4,
1787-08,17.6,
1787-09,13.6,
1787-10,9.7,
1787-11,3.3,
1787-12,2.1,
1788-01,-0.8,
1788-02,2.1,
1788-03,5.1,
1788-04,8.3,
1788-05,13.4,
1788-06,16,
1788-07,18.5,
1788-08,16.3,
1788-09,14.9,
1788-10,7.3,
1788-11,0,
1788-12,-7.9,
1789-01,-3.5,
1789-02,1.6,
1789-03,-0.1,
1789-04,8.7,
1789-05,14.3,
1789-06,13.5,
1789-07,16.7,
1789-08,16.7,
1789-09,13,
1789-10,7.7,
1789-11,1.5,
1789-12,-1.4,
1790-01,-1.4,
1790-02,0.7,
1790-03,3.8,
1790-04,6.8,
1790-05,13.3,
1790-06,16.3,
1790-07,15.5,
1790-08,17.2,
1790-09,12.1,
1790-10,10.4,
1790-11,3.6,
1790-12,-0.4,
1791-01,0.7,
1791-02,-0.7,
1791-03,3.1,
1791-04,10.7,
1791-05,12.3,
1791-06,15.6,
1791-07,17,
1791-08,17.6,
1791-09,12.9,
1791-10,8.1,
1791-11,0.8,
1791-12,0.6,
1792-01,-1.7,
1792-02,-0.5,
1792-03,4.5,
1792-04,9.5,
1792-05,11.4,
1792-06,15.6,
1792-07,17.4,
1792-08,17.4,
1792-09,12.2,
