Date,Ta_mean,Recon
1798-12,-0.2,
1799-01,-2.2,
1799-02,3.5,
1799-03,3.8,
1799-04,6.4,
1799-05,11.6,
1799-06,15.4,
1799-07,17.3,
1799-08,17.9,
1799-09,14.6,
1799-10,9.1,
1799-11,3.7,
1799-12,-2.5,
1800-01,1.7,
1800-02,1.3,
1800-03,2.3,
1800-04,11.9,
1800-05,15.1,
1800-06,14.6,
1800-07,19.6,
1800-08,18.6,
1800-09,14.9,
1800-10,8.2,
1800-11,5.9,
1800-12,1,
1801-01,1.4,
1801-02,1.4,
1801-03,5.7,
1801-04,9.4,
1801-05,13.8,
1801-06,15.5,
1801-07,18.1,
1801-08,17.7,
1801-09,15.4,
1801-10,10.5,
1801-11,6,
1801-12,2.4,
1802-01,-5.4,
1802-02,0.8,
1802-03,5.2,
1802-04,10,
1802-05,13.9,
1802-06,17.6,
1802-07,17.4,
1802-08,20.8,
1802-09,16.5,
1802-10,12.5,
1802-11,5.9,
1802-12,1.9,
1803-01,-0.9,
1803-02,-1.8,
1803-03,4.4,
1803-04,10.9,
1803-05,11.8,
1803-06,16.8,
1803-07,20.3,
1803-08,20.2,
1803-09,13.6,
1803-10,8.9,
1803-11,6.4,
1803-12,3.4,
1804-01,4.7,
1804-02,-0.6,
1804-03,3.9,
1804-04,8.8,
1804-05,15,
1804-06,18.2,
1804-07,17.5,
1804-08,17.9,
1804-09,15.2,
1804-10,9.8,
1804-11,6.7,
1804-12,0.7,
1805-01,-1.1,
1805-02,0.9,
1805-03,3.7,
1805-04,6.9,
1805-05,12,
1805-06,15.1,
1805-07,17,
1805-08,16.7,
1805-09,14.6,
1805-10,7.8,
1805-11,2.6,
1805-12,-0.7,
1806-01,3,
1806-02,3.4,
1806-03,4.2,
1806-04,6.3,
1806-05,14.9,
1806-06,17.7,
1806-07,17.6,
1806-08,17,
1806-09,14.6,
1806-10,10.8,
1806-11,6.7,
1806-12,3.9,
1807-01,-1.9,
1807-02,1.6,
1807-03,1.2,
1807-04,7.1,
1807-05,15.5,
1807-06,17,
1807-07,21.7,
1807-08,22,
1807-09,14.5,
1807-10,11.7,
1807-11,5.8,
1807-12,-1.6,
1808-01,-1.1,
1808-02,-2.4,
1808-03,1.3,
1808-04,6.7,
1808-05,14.8,
1808-06,14.9,
1808-07,19.3,
1808-08,19,
1808-09,14.9,
1808-10,7.1,
1808-11,4.9,
1808-12,-2.2,
1809-01,2,
1809-02,3.6,
1809-03,4.6,
1809-04,4.4,
1809-05,13.6,
1809-06,16.5,
1809-07,17.8,
1809-08,18,
1809-09,13.9,
1809-10,8.5,
1809-11,3.3,
1809-12,2.1,
1810-01,-4.1,
1810-02,-2.4,
1810-03,7.8,
1810-04,8.5,
1810-05,14,
1810-06,16,
1810-07,17.3,
1810-08,17.5,
1810-09,16.7,
1810-10,11.5,
1810-11,6.5,
1810-12,2.7,
1811-01,-3.1,
1811-02,3.7,
1811-03,6.1,
1811-04,10.3,
1811-05,15.2,
1811-06,18.6,
1811-07,20.3,
1811-08,18.2,
1811-09,16,
1811-10,12.5,
1811-11,6.2,
1811-12,0.2,
1812-01,-5.3,
1812-02,2.9,
1812-03,4,
1812-04,6.6,
1812-05,13.6,
1812-06,15.9,
1812-07,17.4,
1812-08,16.9,
1812-09,13.9,
1812-10,9.3,
1812-11,2.7,
1812-12,-2.1,
1813-01,-2.7,
1813-02,3,
1813-03,3.3,
1813-04,9.1,
1813-05,13.8,
1813-06,14.8,
1813-07,15.3,
1813-08,16,*
1813-09,13.1,
1813-10,10.2,
1813-11,4.2,
1813-12,1.4,
1814-01,-2.3,
1814-02,-3.3,
1814-03,2.4,
1814-04,9.5,
1814-05,11.1,
1814-06,15.4,
1814-07,18.2,
1814-08,16.9,
1814-09,12.5,
1814-10,8.2,
1814-11,5.8,
1814-12,3.6,
1815-01,-3.2,
1815-02,2.9,
1815-03,6.6,
1815-04,9.6,
1815-05,14.2,
1815-06,15.9,
1815-07,18.1,
1815-08,17.1,
1815-09,15.2,
1815-10,10.9,
1815-11,2.3,*
1815-12,0.5,
1816-01,0.1,
1816-02,-0.3,
1816-03,3.7,
1816-04,7.8,
1816-05,12.5,
1816-06,14.1,
1816-07,14.9,
1816-08,15.2,
1816-09,13.8,
1816-10,9.9,
