Date,Ta_mean,Recon
1782-08,16.8,
1782-09,12.5,
1782-10,5.4,
1782-11,0.9,
1782-12,-1.9,
1783-01,2.4,
1783-02,2.7,
1783-03,4,
1783-04,8.2,
1783-05,13.5,
1783-06,14.9,
1783-07,20.2,
1783-08,16.7,
1783-09,13.5,
1783-10,8.9,
1783-11,5,
1783-12,0.6,
1784-01,-3.3,
1784-02,-1.6,
1784-03,3.8,
1784-04,5.8,
1784-05,15.9,
1784-06,16.7,
1784-07,18.3,
1784-08,15.4,
1784-09,15.8,
1784-10,3.9,
1784-11,3.8,
1784-12,-3,
1785-01,-1.6,
1785-02,-2.7,
1785-03,-3.1,
1785-04,5.1,
1785-05,12.9,
1785-06,15.4,
1785-07,15.9,
1785-08,14.7,
1785-09,14.8,
1785-10,7.6,
1785-11,3.7,
1785-12,0.3,
1786-01,-1,
1786-02,1,
1786-03,1.2,
1786-04,9.8,
1786-05,12.5,
1786-06,17.5,
1786-07,15.6,
1786-08,15.4,
1786-09,12.3,
1786-10,5.9,
1786-11,2.2,
1786-12,-0.4,
1787-01,-4.2,
1787-02,-0.3,
1787-03,4.9,
1787-04,7.2,
1787-05,10.4,
1787-06,16.9,
1787-07,16.6,
1787-08,18.6,
1787-09,14.2,
1787-10,10.8,
1787-11,4.3,
1787-12,3.1,
1788-01,-0.1,
1788-02,2.6,
1788-03,5.6,
1788-04,8.7,
1788-05,14.5,
1788-06,16.4,
1788-07,18.7,
1788-08,16.5,
1788-09,15.3,
1788-10,7.5,
1788-11,-0.3,
1788-12,-7.6,
1789-01,-2.5,
1789-02,1.9,
1789-03,0.6,
1789-04,9.3,
1789-05,14.6,
1789-06,13.4,
1789-07,16.3,
1789-08,16.6,
1789-09,12.9,
1789-10,7.8,
1789-11,2.5,
1789-12,-0.1,
1790-01,-0.8,
1790-02,1.5,
1790-03,3.9,
1790-04,6.8,
1790-05,14.2,
1790-06,16.9,
1790-07,15.6,
1790-08,17.4,
1790-09,12.3,
1790-10,10.6,
1790-11,4,
1790-12,0.6,
1791-01,1.1,
1791-02,-0.2,
1791-03,3.5,
1791-04,11.5,
1791-05,12.9,
1791-06,15.9,
1791-07,16.7,
1791-08,18,
1791-09,13,
1791-10,8.5,
1791-11,1.4,
1791-12,2,
1792-01,-0.7,
1792-02,0.1,
1792-03,5.1,
1792-04,9.4,
1792-05,12.1,
1792-06,15.9,
1792-07,17.2,
1792-08,17.4,
1792-09,12.3,
1792-10,9.5,
1792-11,3.9,
1792-12,1,
1793-01,-2.4,
1793-02,1.9,
1793-03,4.5,
1793-04,7.1,
1793-05,11.4,
1793-06,15.3,
1793-07,19.8,
