Date,Ta_mean,Std_err
1776-04,NA,NA
1776-05,NA,NA
1776-06,NA,NA
1776-07,NA,NA
1776-08,NA,NA
1776-09,NA,NA
1776-10,NA,NA
1776-11,NA,NA
1776-12,NA,NA
1777-01,-2.3,0.15
1777-02,-1.1,0.17
1777-03,5.5,0.18
1777-04,6.2,0.22
1777-05,10.9,0.24
1777-06,14.8,0.26
1777-07,15.3,0.25
1777-08,17.9,0.22
1777-09,13.8,0.19
1777-10,9.8,0.16
1777-11,4.1,0.15
1777-12,-2.2,0.15
1778-01,-1,0.16
1778-02,-0.7,0.17
1778-03,4.1,0.18
1778-04,9.6,0.22
1778-05,13.3,0.24
1778-06,15.3,0.26
1778-07,18.9,0.27
1778-08,18.6,0.22
1778-09,11.8,0.2
1778-10,8.5,0.16
1778-11,4.2,0.16
1778-12,1.5,0.15
1779-01,-7.7,0.16
1779-02,1.4,0.17
1779-03,4.5,0.18
1779-04,11.1,0.22
1779-05,14.2,0.24
1779-06,13.5,0.26
1779-07,16.6,0.25
1779-08,16.3,0.22
1779-09,14.6,0.2
1779-10,10.8,0.16
1779-11,4.2,0.16
1779-12,3.4,0.15
1780-01,-4.4,0.16
1780-02,-3.5,0.17
1780-03,6.3,0.2
1780-04,5.8,0.24
1780-05,13.9,0.24
1780-06,16.4,0.26
1780-07,17.5,0.26
1780-08,17.5,0.22
1780-09,13.8,0.19
1780-10,9.3,0.16
1780-11,1.8,0.15
1780-12,-3,0.16
1781-01,-1.3,0.16
1781-02,1.1,0.19
1781-03,4.9,0.18
1781-04,10.4,0.22
1781-05,14.9,0.25
1781-06,16.8,0.26
1781-07,18.3,0.25
1781-08,18.4,0.23
1781-09,14.3,0.19
1781-10,7.3,0.17
1781-11,3.7,0.15
1781-12,1,0.15
1782-01,0.2,0.16
1782-02,-5.6,0.18
1782-03,3,0.18
1782-04,6.8,0.25
1782-05,12,0.28
1782-06,18.7,0.27
1782-07,20.3,0.27
1782-08,16.8,0.22
1782-09,12.7,0.21
1782-10,6.2,0.18
1782-11,-0.3,0.15
1782-12,-4.1,0.16
1783-01,1.4,0.17
