Date,Ta_mean,Std_err
1788-08,17.5,0.22
1788-09,15.4,0.19
1788-10,8.8,0.16
1788-11,1.6,0.15
1788-12,-5.2,0.13
1789-01,-1.8,0.14
1789-02,2.1,0.15
1789-03,0.7,0.17
1789-04,9.9,0.2
1789-05,14.7,0.23
1789-06,13.8,0.24
1789-07,17.2,0.24
1789-08,17.6,0.22
1789-09,13.9,0.19
1789-10,8.6,0.16
1789-11,2.3,0.15
1789-12,0.4,0.13
1790-01,-0.7,0.14
1790-02,1.8,0.15
1790-03,4.6,0.17
1790-04,7.5,0.2
1790-05,13.8,0.23
1790-06,17.6,0.24
1790-07,17.6,0.24
1790-08,19,0.22
1790-09,13.7,0.19
1790-10,11.4,0.16
1790-11,5.4,0.15
1790-12,1.4,0.13
1791-01,2,0.14
1791-02,0.4,0.15
1791-03,4.3,0.17
1791-04,11.5,0.2
1791-05,13.4,0.23
1791-06,17.1,0.24
1791-07,18.7,0.25
1791-08,19.3,0.34
1791-09,14.8,0.34
1791-10,9.9,0.29
1791-11,2.9,0.28
1791-12,2.1,0.25
1792-01,0.6,0.26
1792-02,0.5,0.35
1792-03,6.1,0.35
1792-04,10.6,0.34
1792-05,12.8,0.33
1792-06,16.9,0.35
1792-07,18.2,0.34
1792-08,17.7,0.34
1792-09,13.5,0.34
1792-10,10.7,0.29
1792-11,5.3,0.28
1792-12,1.2,0.25
1793-01,-1.3,0.26
1793-02,1.9,0.36
1793-03,5.7,0.35
1793-04,8.7,0.34
1793-05,12.9,0.33
1793-06,15.9,0.35
1793-07,20.5,0.34
1793-08,19.5,0.34
1793-09,13.4,0.34
1793-10,10.5,0.29
1793-11,5.1,0.28
1793-12,2,0.25
1794-01,-0.6,0.26
1794-02,3.2,0.36
1794-03,6.4,0.33
1794-04,12.5,0.34
1794-05,14.2,0.33
1794-06,17.3,0.35
1794-07,21.4,0.33
1794-08,NA,NA
1794-09,13.2,0.34
1794-10,9.4,0.29
1794-11,5.8,0.28
1794-12,-0.9,0.25
1795-01,-5.9,0.26
1795-02,1.3,0.36
1795-03,4.2,0.35
1795-04,10.8,0.34
1795-05,14.7,0.33
1795-06,17.5,0.35
1795-07,16.7,0.34
1795-08,18.6,0.34
1795-09,15.7,0.34
1795-10,11.8,0.29
1795-11,3.8,0.28
1795-12,2.3,0.25
1796-01,0.8,0.26
1796-02,1.8,0.35
1796-03,1.6,0.35
1796-04,8.8,0.34
1796-05,13.9,0.33
1796-06,16.7,0.35
1796-07,17.9,0.34
1796-08,18.1,0.34
1796-09,15.8,0.34
1796-10,10.5,0.29
1796-11,4.7,0.28
1796-12,-1.1,0.25
1797-01,-0.5,0.26
1797-02,-0.7,0.36
1797-03,2.7,0.35
1797-04,10.5,0.34
1797-05,15.7,0.33
1797-06,14.7,0.35
1797-07,19.9,0.34
1797-08,18.6,0.34
1797-09,14.8,0.34
1797-10,9.6,0.29
1797-11,5.6,0.28
1797-12,2.8,0.25
1798-01,0,0.26
1798-02,-0.1,0.36
1798-03,2.8,0.35
1798-04,9.8,0.34
1798-05,14.4,0.33
1798-06,17.5,0.35
1798-07,18,0.34
1798-08,18.1,0.34
1798-09,14.6,0.34
1798-10,9.3,0.29
1798-11,5.3,0.28
1798-12,-0.2,0.13
1799-01,-2.2,0.14
1799-02,3.5,0.15
1799-03,3.8,0.17
1799-04,6.4,0.2
1799-05,11.6,0.23
1799-06,15.4,0.24
1799-07,17.3,0.24
1799-08,17.9,0.22
1799-09,14.6,0.19
1799-10,9.1,0.16
1799-11,3.7,0.15
1799-12,-2.5,0.13
1800-01,1.7,0.15
1800-02,1.3,0.18
1800-03,2.3,0.18
1800-04,11.9,0.22
1800-05,15.1,0.3
1800-06,14.6,0.26
1800-07,19.6,0.25
1800-08,18.6,0.23
1800-09,14.9,0.19
1800-10,8.2,0.17
1800-11,5.9,0.17
1800-12,1,0.15
1801-01,1.4,0.15
1801-02,1.4,0.17
1801-03,5.7,0.18
1801-04,9.4,0.22
1801-05,13.8,0.24
1801-06,15.5,0.26
1801-07,18.1,0.25
1801-08,17.7,0.22
1801-09,15.4,0.19
1801-10,10.5,0.16
1801-11,6,0.16
1801-12,2.4,0.15
1802-01,-5.4,0.15
1802-02,0.8,0.17
1802-03,5.2,0.18
1802-04,10,0.22
1802-05,13.9,0.24
1802-06,17.6,0.26
1802-07,17.4,0.25
1802-08,20.8,0.22
1802-09,16.5,0.19
1802-10,12.5,0.16
1802-11,5.9,0.16
1802-12,1.9,0.15
1803-01,-0.9,0.15
1803-02,-1.8,0.17
1803-03,4.4,0.18
1803-04,10.9,0.22
1803-05,11.8,0.24
1803-06,16.8,0.26
1803-07,20.3,0.25
1803-08,20.2,0.22
1803-09,13.6,0.19
1803-10,8.9,0.16
1803-11,6.4,0.16
1803-12,3.4,0.15
1804-01,4.7,0.15
1804-02,-0.6,0.16
1804-03,3.9,0.18
1804-04,8.8,0.22
1804-05,15,0.24
1804-06,18.2,0.26
1804-07,17.5,0.25
1804-08,17.9,0.22
1804-09,15.2,0.19
1804-10,9.8,0.16
1804-11,6.7,0.16
1804-12,0.7,0.15
1805-01,-1.1,0.15
1805-02,0.9,0.17
1805-03,3.7,0.18
1805-04,6.9,0.22
1805-05,12,0.24
1805-06,15.1,0.26
1805-07,17,0.25
1805-08,16.7,0.22
1805-09,14.6,0.19
1805-10,7.8,0.16
1805-11,2.6,0.16
1805-12,-0.7,0.15
1806-01,3,0.15
1806-02,3.4,0.17
1806-03,4.2,0.18
1806-04,6.3,0.22
1806-05,14.9,0.24
1806-06,17.7,0.26
1806-07,17.6,0.25
1806-08,17,0.22
1806-09,14.6,0.19
1806-10,10.8,0.16
1806-11,6.7,0.16
1806-12,3.9,0.15
1807-01,-1.9,0.15
1807-02,1.6,0.17
1807-03,1.2,0.18
1807-04,7.1,0.22
1807-05,15.5,0.24
1807-06,17,0.26
1807-07,21.7,0.25
1807-08,22,0.22
1807-09,14.5,0.19
1807-10,11.7,0.16
1807-11,5.8,0.16
1807-12,-1.6,0.15
1808-01,-1.1,0.15
1808-02,-2.4,0.16
1808-03,1.3,0.18
1808-04,6.7,0.22
1808-05,14.8,0.32
1808-06,14.9,0.26
1808-07,19.3,0.25
1808-08,19,0.22
1808-09,14.9,0.19
1808-10,7.1,0.16
1808-11,4.9,0.16
1808-12,-2.2,0.15
1809-01,2,0.15
1809-02,3.6,0.17
1809-03,4.6,0.18
1809-04,4.4,0.22
1809-05,13.6,0.24
1809-06,16.5,0.26
1809-07,17.8,0.25
1809-08,18,0.22
1809-09,13.9,0.19
1809-10,8.5,0.16
1809-11,3.3,0.16
1809-12,2.1,0.15
1810-01,-4.1,0.15
1810-02,-2.4,0.17
1810-03,7.8,0.18
1810-04,8.5,0.22
1810-05,14,0.24
1810-06,16,0.26
1810-07,17.3,0.25
1810-08,17.5,0.22
1810-09,16.7,0.19
1810-10,11.5,0.16
1810-11,6.5,0.16
1810-12,2.7,0.15
1811-01,-3.1,0.15
1811-02,3.7,0.17
1811-03,6.1,0.18
1811-04,10.3,0.22
1811-05,15.2,0.24
1811-06,18.6,0.26
1811-07,20.3,0.25
1811-08,18.2,0.22
1811-09,16,0.19
1811-10,12.5,0.16
1811-11,6.2,0.17
1811-12,0.2,0.15
1812-01,-5.3,0.15
1812-02,2.9,0.16
1812-03,4,0.18
1812-04,6.6,0.22
1812-05,13.6,0.24
1812-06,15.9,0.26
1812-07,17.4,0.25
1812-08,16.9,0.22
1812-09,13.9,0.19
1812-10,9.3,0.16
1812-11,2.7,0.16
1812-12,-2.1,0.15
1813-01,-2.7,0.15
1813-02,3,0.17
1813-03,3.3,0.18
1813-04,9.1,0.22
1813-05,13.8,0.24
1813-06,14.8,0.26
1813-07,15.3,0.25
1813-08,NA,NA
1813-09,13.1,0.19
1813-10,10.2,0.16
1813-11,4.2,0.16
1813-12,1.4,0.15
1814-01,-2.3,0.15
1814-02,-3.3,0.17
1814-03,2.4,0.18
1814-04,9.5,0.22
